ondo,komando_no_nagasa,tsukawareta_kaisuu,gosa,yesNo
17.79,293,31,4.39,0
6.61,598,8,1.56,0
-15.39,919,20,0.82,0
-13.77,743,70,1.47,0
20.82,126,25,3.01,0
18.29,990,35,2.63,0
28.01,720,14,4.92,0
6.55,128,82,2.71,0
-3.03,149,35,0.02,0
33.09,209,96,0.85,0
5.6,681,47,3.47,0
-3.53,97,22,4.46,0
-6.8,150,80,4.81,0
26.61,456,22,3.16,0
30.49,497,36,0.54,0
36.13,311,45,3.15,0
36.35,453,41,2.92,0
39.51,920,87,5.79,1
-11.8,128,3,1.71,0
39.09,583,96,4.49,0
39.83,970,93,8.69,1
24.29,123,4,0.04,0
16.06,531,61,1.78,0
15.94,536,34,1.67,0
1.01,394,21,2.68,0
-6.26,628,62,2.52,0
19.82,354,82,4.25,0
-17.03,530,23,4.3,0
1.34,720,1,1.85,0
4.51,90,38,0.84,0
-16.42,804,83,3.95,0
38.75,914,89,9.76,1
-0.11,127,52,4.35,0
39.25,928,96,7.95,1
-17.48,315,59,3.89,0
6.99,482,37,2.15,0
11.66,841,95,2.67,0
-11.96,425,68,3.55,0
-4.93,621,29,0.3,0
25.58,266,48,0.53,0
-18.63,655,30,2.01,0
18.51,172,57,2.89,0
-6.12,661,16,1.39,0
8.48,803,86,4.8,0
29.15,938,100,2.41,0
37.96,964,98,8.82,1
31.24,183,42,4.21,0
27.36,226,58,1.73,0
39.87,905,79,9.66,1
1.57,936,46,0.77,0
8.04,816,16,4.19,0
32.48,796,58,2.42,0
-6.78,972,18,2.51,0
1.91,645,83,2.22,0
-15.23,168,24,2.93,0
21.19,31,44,0.31,0
-11.67,741,93,1.19,0
8.78,402,26,0.66,0
38.13,965,75,7.52,1
39.31,138,79,1.18,0
-1.79,265,89,4.31,0
19.48,298,17,1.59,0
35.41,972,85,10.0,1
-3.08,146,5,2.34,0
35.79,442,56,0.59,0
-17.21,377,86,3.41,0
15.93,870,13,3.47,0
35.3,781,55,3.65,0
-2.27,379,26,3.86,0
-15.27,707,96,2.53,0
9.7,425,96,0.54,0
8.26,953,4,4.41,0
18.64,795,96,1.85,0
38.83,634,69,2.56,0
37.04,942,77,6.89,1
17.7,396,49,4.03,0
31.01,403,13,2.21,0
20.41,822,61,0.24,0
-8.75,867,69,3.36,0
33.56,222,55,3.75,0
36.85,961,85,6.9,1
37.6,927,82,8.93,1
35.26,907,75,9.47,1
31.98,108,78,3.39,0
-12.51,763,15,0.73,0
39.81,649,24,0.14,0
28.52,447,71,2.55,0
38.1,955,87,6.6,1
12.38,723,76,1.23,0
38.82,945,89,8.17,1
38.99,976,92,8.64,1
-19.38,585,49,2.37,0
-12.75,469,57,1.38,0
-12.39,991,74,1.33,0
25.68,627,18,3.41,0
38.49,889,82,2.66,0
36.83,914,88,6.17,1
-6.26,245,68,0.43,0
-11.42,438,14,0.89,0
15.02,814,58,4.34,0
36.39,939,93,8.52,1
22.7,422,32,3.01,0
8.11,369,74,3.26,0
-11.47,876,18,0.49,0
32.27,350,65,0.44,0
7.12,429,44,1.85,0
-13.24,829,33,4.21,0
28.92,424,80,2.97,0
-11.51,689,20,0.6,0
5.49,161,97,4.03,0
3.91,853,24,3.59,0
-2.69,265,16,1.97,0
1.91,527,7,4.87,0
3.9,165,97,4.79,0
-16.61,596,34,1.73,0
35.64,233,3,0.6,0
38.43,628,21,1.78,0
-13.1,514,76,3.65,0
-18.01,820,27,2.7,0
21.74,160,44,3.07,0
-7.92,602,52,2.04,0
-0.87,425,99,2.62,0
26.2,894,33,0.85,0
35.6,935,95,9.28,1
21.28,580,82,2.03,0
21.47,924,58,4.79,0
-5.62,910,30,2.91,0
20.9,93,84,4.53,0
21.83,881,68,1.37,0
23.43,727,72,1.6,0
11.36,487,59,2.56,0
-19.82,55,97,0.86,0
32.66,330,8,4.18,0
39.86,941,85,6.97,1
-7.88,609,81,0.08,0
3.36,750,74,1.48,0
38.82,943,49,1.05,0
33.11,571,40,4.0,0
-6.8,694,9,0.26,0
11.78,96,3,0.47,0
